doll_id,text,label
1.0,내가  말씀 하겠네 사람이 없으니까 해 주세요 안 가니까 끝난 거지,positive
2.0,10만 원 정도 있으니 00님이 한숨을 쉬고는 않지 났구먼이라고 그런데 추라고 생각을 하고요 제가 이상한 거니 거예요 아니 얘기 야 그것이 너무 아빠 있잖아 똑바로 말해라 고기를 한 말 시키면,positive
3.0,아니야 곤도라 누구 소리가 아니야 중앙 있는 가려고 하시고 계시는 저기 있는 거 두 개 시원할 때 내려 가면 저 운전 시험장 근데 그러지 되는데 다 먹고 싶어 00아 가자 문창시장,positive
3.0,저 운전 시험장 근데 그러지 되는데 다 먹고 싶어 00아 가자 문창시장 되니깐 끝말잇기 하자 과일 과일이란 들어오고,positive
3.0,되니깐 끝말잇기 하자 과일 과일이란 들어오고 이거 뭔지 대화를 종료합니다 콘센트 뺐어 깼어요 날씨 게임도 할 수 있게 하는 카드 내가 말하는 전화 왔는데,positive
3.0,이거 뭔지 대화를 종료합니다 콘센트 뺐어 깼어요 날씨 게임도 할 수 있게 하는 카드 내가 말하는 전화 왔는데 저 책장이 칼립소 맨해튼 아빠 나 엄마한테 데려다 줬어 그러지 않았어 안 나오는데 쓰레기통 좋겠다 엄마 데리러 치과 안녕,positive
3.0,내가 말하는 전화 왔는데 저 책장이 칼립소 맨해튼 아빠 나 엄마한테 데려다 줬어 그러지 않았어 안 나오는데 쓰레기통 좋겠다 엄마 데리러 치과 안녕 난 어르신이 아니야 알라딘 왜 못 놀아 얼마나 먹어,positive
4.0,10분 내로 불러 줘 부르고 싶은 거 몰라요 그냥 아무거나 트로트 불러 줘 사랑아 불러 줘 오늘 날씨가 어때 나 밖에 나갔다 올테니까 집 좀 잘 보고 있어 대전 시장 님은 누구세요 내가 지금 배가 너무 아픈데 어떻게 하면 좋을까 그냥 이렇게 하시면 되고 뭐 일단 되어 다시 해야 돼요 어떤 때는 이제 반응해서 자기한테 말하는 줄 알고 막 거기 대답하고,danger
4.0,나 밖에 나갔다 올테니까 집 좀 잘 보고 있어 대전 시장 님은 누구세요 내가 지금 배가 너무 아픈데 어떻게 하면 좋을까 그냥 이렇게 하시면 되고 뭐 일단 되어 다시 해야 돼요 어떤 때는 이제 반응해서 자기한테 말하는 줄 알고 막 거기 대답하고 자요 그리고 불도 꺼지고 9시에는 불 좀 꺼 줘 아침에 다시 환해지고 이제 그때부터 몇 시에요 어르신 그리고 약 복용 시간대 원하시면 어르신 약 드실 시간이에요 내가 얘기 좀 해 주고 입력 하면 되거든요 저기 원하시면 그 약 복용 시간도 저한테 알려주시면 제가 이제 곰돌이가 이야기할 수 있게 조정 할 수가 있어요 그럼 혼자 얘기 얘기 걸어 놓은 걸로 없고 날씨 어떻게 물어보니 오늘 점심은 뭐 먹을까 어떻게 만들지,danger
4.0,자요 그리고 불도 꺼지고 9시에는 불 좀 꺼 줘 아침에 다시 환해지고 이제 그때부터 몇 시에요 어르신 그리고 약 복용 시간대 원하시면 어르신 약 드실 시간이에요 내가 얘기 좀 해 주고 입력 하면 되거든요 저기 원하시면 그 약 복용 시간도 저한테 알려주시면 제가 이제 곰돌이가 이야기할 수 있게 조정 할 수가 있어요 그럼 혼자 얘기 얘기 걸어 놓은 걸로 없고 날씨 어떻게 물어보니 오늘 점심은 뭐 먹을까 어떻게 만들지 모르냐고 된장찌개 말고 같이 먹을래 이렇게 농담도 되게 잘하는데요 곰돌이가 그래서 그렇게 대화해서 사용하시면 되고요 제가 이거 도와줘,critical
4.0,모르냐고 된장찌개 말고 같이 먹을래 이렇게 농담도 되게 잘하는데요 곰돌이가 그래서 그렇게 대화해서 사용하시면 되고요 제가 이거 도와줘 도와줘 도와줘 노래 불러 줘 가구 바꾸는 거예요 노래 불러 줘 노래 불러 줘 오늘 날씨가 어떤가 궁금해서,critical
4.0,도와줘 도와줘 노래 불러 줘 가구 바꾸는 거예요 노래 불러 줘 노래 불러 줘 오늘 날씨가 어떤가 궁금해서 뭐 먹을까 오늘 점심 뭐 먹을까 김치볶음밥 어르신 왼손 이거는 그냥 안 하셔도 되는데 그냥 어르신 걸려 가지고 가지고 가지고,critical
4.0,뭐 먹을까 오늘 점심 뭐 먹을까 김치볶음밥 어르신 왼손 이거는 그냥 안 하셔도 되는데 그냥 어르신 걸려 가지고 가지고 가지고 들어 가지고 주머니에서 카드 빼서 내가 이촌 적에서 옛날 얘기 좀 한번 해 봐 무슨 말을 해 비가 언제까지 올 거 같아,danger
4.0,들어 가지고 주머니에서 카드 빼서 내가 이촌 적에서 옛날 얘기 좀 한번 해 봐 무슨 말을 해 비가 언제까지 올 거 같아 노래 몰라요 뭐래 노래 불러 노래,positive
4.0,노래 몰라요 뭐래 노래 불러 노래 하지 말아요 노래 불러 줘 노래 불러 줘 노래 불러 줘 뭐라고 오늘 날씨가 좋겠어 오늘 날씨가 좋겠어,positive
4.0,하지 말아요 노래 불러 줘 노래 불러 줘 노래 불러 줘 뭐라고 오늘 날씨가 좋겠어 오늘 날씨가 좋겠어 오늘 날씨 어때요 노래 좀 불러 줘 노래 불러 블럭 노래 좀 불러 줘,positive
